ECG_HR,ST1
52,0
51,0
51,0
51,0
51,0
51,0
51,0
52,0
52,0
52,0
52,0
51,0
51,0
51,0
50,0
50,0
51,0
51,0
51,0
51,0
51,0
51,0
50,0
50,0
49,0
49,0
49,0
48,0
48,0
48,0
48,0
49,0
49,0
49,0
50,0
50,0
50,0
50,0
51,0
51,0
51,0
50,0
50,0
50,0
50,0
63,0
65,0
66,0
66,0
57,0
57,0
56,0
55,0
54,0
77,0
76,0
56,0
55,0
55,0
54,0
48,0
47,0
47,0
46,0
45,0
45,0
45,0
44,0
45,0
64,0
62,0
54,0
53,0
53,0
52,0
46,0
46,0
46,0
53,0
53,0
52,0
52,0
50,0
49,0
49,0
49,0
48,0
48,0
48,0
58,0
57,0
50,0
49,0
48,0
48,0
47,0
48,0
53,0
53,0
53,0
52,0
46,0
46,0
46,0
45,0
45,0
45,0
45,0
44,0
44,0
44,0
44,0
51,0
66,0
58,0
57,0
56,0
55,0
55,0
61,0
54,0
53,0
52,0
46,0
46,0
46,0
57,0
63,0
56,0
54,0
48,0
48,0
48,0
54,0
55,0
54,0
48,0
48,0
47,0
47,0
47,0
47,0
72,0
73,0
73,0
65,0
58,0
58,0
57,0
58,0
58,0
51,0
51,0
51,0
51,0
52,0
53,0
54,0
75,0
75,0
73,0
57,0
55,0
54,0
53,0
53,0
52,0
52,0
58,0
67,0
69,0
69,0
60,0
59,0
59,0
58,0
57,0
56,0
55,0
55,0
55,0
54,0
53,0
70,0
71,0
62,0
54,0
53,0
53,0
52,0
51,0
64,0
72,0
62,0
61,0
54,0
54,0
54,0
54,0
54,0
54,0
54,0
54,0
53,0
53,0
54,0
70,0
70,0
56,0
49,0
49,0
49,0
48,0
55,0
72,0
73,0
72,0
64,0
62,0
55,0
55,0
54,0
54,0
54,0
54,0
53,0
53,0
53,0
71,1
71,1
53,0
52,0
52,0
51,0
51,0
57,0
70,0
72,0
72,0
71,0
70,0
68,0
66,0
58,0
57,0
56,0
56,0
55,0
55,0
54,0
64,0
75,0
77,0
65,0
64,0
63,0
63,0
63,0
63,0
63,0
64,0
65,0
66,0
65,0
65,0
64,0
64,0
64,0
74,0
75,0
75,0
66,0
65,0
63,0
62,0
61,0
61,0
73,0
75,0
74,0
66,0
65,0
64,0
64,0
64,0
65,0
66,0
66,0
66,0
65,0
64,0
65,0
65,0
58,0
57,0
57,0
56,0
56,0
61,1
78,0
78,0
69,0
68,0
67,0
65,0
64,0
64,0
64,0
64,0
64,0
63,0
63,0
64,0
66,0
67,0
67,0
65,0
64,0
63,0
72,0
80,0
80,0
69,0
68,0
68,0
68,0
68,0
68,0
69,0
70,0
70,0
70,0
70,0
70,0
70,0
68,0
60,0
60,0
60,0
59,0
66,0
75,0
75,0
74,0
64,0
63,0
63,0
63,0
63,0
64,0
65,0
66,0
67,0
67,0
68,0
75,0
76,0
77,0
77,0
78,0
79,0
79,0
79,0
79,0
76,0
74,0
72,0
71,0
70,0
69,0
68,0
69,0
71,0
72,0
72,0
72,0
73,0
74,0
75,0
76,0
76,0
75,0
74,0
74,0
75,0
75,0
74,0
73,0
73,0
74,0
74,0
74,0
73,0
72,0
72,0
72,0
73,0
75,0
76,0
75,0
73,0
71,0
69,0
69,0
70,0
71,0
71,0
71,0
71,0
72,0
73,0
66,0
66,0
67,0
69,0
70,0
70,0
71,0
72,0
80,0
79,0
77,0
76,0
75,0
73,0
72,0
61,0
61,0
62,0
70,0
79,0
90,0
93,0
96,0
99,0
101,-1
103,0
104,0
106,0
107,-1
110,-1
113,-1
114,-1
116,-1
118,0
120,-1
121,-1
119,-1
115,0
110,0
96,0
95,0
93,0
93,0
92,0
89,-1
87,-1
85,-1
83,-1
72,-1
73,-1
64,-1
64,-1
63,-1
56,-1
55,-1
55,-1
48,-1
48,-1
48,-1
48,-1
48,-1
49,-1
55,-1
55,-1
55,-1
68,-1
75,0
66,0
57,0
56,0
55,0
54,-1
53,-1
52,0
51,0
50,0
50,0
67,0
75,0
75,0
75,0
73,0
71,0
69,0
76,0
77,0
78,0
79,0
78,0
76,0
76,-1
76,-1
76,-1
76,0
75,0
76,0
88,0
90,0
93,0
96,0
99,0
103,0
107,-1
111,-1
114,-1
117,-1
118,-1
119,-1
121,-1
123,-1
125,-1
126,-1
127,-1
124,-1
110,-1
107,0
103,0
100,0
97,0
94,0
83,-1
81,-1
79,-1
78,-1
69,-1
68,-1
60,-1
59,-1
59,-1
58,-1
51,-1
52,-1
52,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,0
67,0
68,0
69,0
70,0
68,0
61,0
60,0
52,0
52,0
46,0
46,0
54,0
71,0
73,0
74,0
75,0
74,0
73,0
72,0
71,0
71,0
79,0
82,0
80,0
79,0
78,0
77,0
76,0
76,0
76,0
77,0
78,0
81,0
90,0
93,0
98,-1
103,-1
106,-1
110,-1
114,-1
118,-1
122,-1
124,-1
125,-1
125,-1
126,-1
128,-2
131,-1
132,-1
131,-1
128,-1
111,-1
108,0
105,0
101,0
88,-1
87,0
86,-1
84,-1
83,-1
82,-1
81,-1
70,-1
61,-1
61,-1
62,-1
63,-1
71,-1
72,-1
71,-1
71,-1
71,-1
71,-1
71,-1
70,-1
71,-1
79,0
79,0
77,0
75,0
66,0
64,0
57,0
57,0
71,0
73,0
75,0
75,0
75,0
75,0
75,0
76,0
86,0
87,0
87,0
85,-1
84,-1
83,0
82,0
82,0
82,0
82,0
83,0
86,0
90,0
102,-1
107,-1
112,-1
115,-1
116,-1
118,-1
121,-1
123,-1
125,-1
128,-2
131,-1
135,-1
136,-1
137,-1
136,-1
119,-1
115,0
98,0
97,0
93,0
91,0
89,0
87,-1
86,-1
84,-1
83,0
81,-1
80,-1
78,-1
77,-1
76,-1
75,-1
75,-1
75,-1
75,-1
75,-1
75,-1
75,-1
75,-1
75,-1
76,-1
77,-1
78,0
80,0
80,0
79,0
77,0
75,0
73,0
72,0
71,0
80,0
80,-1
80,0
82,0
82,0
81,0
80,0
79,0
79,0
79,-1
80,-1
91,0
91,-1
91,-1
91,-1
89,0
88,0
89,0
88,0
88,0
91,0
104,-1
105,-1
108,-1
111,-1
115,-1
119,-1
122,-1
125,-1
128,-1
133,-1
135,-2
137,-1
139,-1
140,-1
140,-1
140,0
136,0
118,-1
116,0
103,0
101,0
88,0
87,0
85,0
84,0
82,0
80,0
79,0
77,0
69,0
68,0
68,0
68,0
68,0
69,0
70,0
71,0
73,0
73,-1
74,-1
74,-1
75,0
76,0
77,0
76,0
76,0
76,0
75,0
74,0
74,0
85,0
85,0
85,0
83,0
82,0
80,0
79,0
79,-1
79,-1
80,-1
83,-1
85,-1
86,-1
86,-1
